,ISBN No.,Candidate Name,Candidate Designation,University,Candidate Title,Chapter Name,fChapter Name,Book Title,Publication Date,Publication Name
3270,978-81-978432-8-0,Dr. Mahendra Singh Bhadoria,"Associate Professor, Dept of Mathematics",ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3271,978-81-978432-8-0,Dr. Manoj Mishra,"Professor, Dept of Humanities",ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3272,978-81-978432-8-0,Dr. Rajeev Singh Rathore,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3273,978-81-978432-8-0,Dr. Prabha Dixit,"Associate Professor, Dept of Chemistry",ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3274,978-81-978432-8-0,Ms. Rashmi Pandey,"Asst. Professor, Dept of EC",ITM Gwalior,Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contemporary Challenges,Innovative Models Of Care For Maternal And Newborn Health Addressing Contemporary Challenges,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3275,978-81-978432-8-0,Dr. Ankit Gupta,"Associate Professor, Dept of MBA",ITM Gwalior,Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contemporary Challenges,Innovative Models Of Care For Maternal And Newborn Health Addressing Contemporary Challenges,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3276,978-81-978432-8-0,Ms. Neha Sharma,"Asst. Professor, Dept of Mathematics",ITM Gwalior,Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contemporary Challenges,Innovative Models Of Care For Maternal And Newborn Health Addressing Contemporary Challenges,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3277,978-81-978432-8-0,Mr. Vikas Sharma,"Assistant Professor, School of Life and Basic Scienc","Jaipur National University, Rajasthan",Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contemporary Challenges,Innovative Models Of Care For Maternal And Newborn Health Addressing Contemporary Challenges,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3278,978-81-978432-8-0,Dr. Megha Ajeet Lahane,"Associate , Dept of Humanities",ITM Gwalior,Contributor,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3279,978-81-978432-8-0,Dr. Prashant Sharma,"Asst. Professor, Dept of MBA",ITM Gwalior,Contributor,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3280,978-81-978432-8-0,Dr. Ankit Gupta,"Associate Professor, Dept of MBA",ITM Gwalior,Contributor,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3281,978-81-978432-8-0,Dr. Preeti Singh,Professor,ITM Gwalior,Contributor,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,The Role Of Education And Training In Advancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3282,978-81-978432-8-0,Mr. Abhinandan Singh Dandotiya,"Asst. Professor, Dept of MCA",ITM Gwalior,Contributor,Policy Innovations For Enhancing Maternal And Newborn Care Management,Policy Innovations For Enhancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3283,978-81-978432-8-0,Dr. Rajeev Singh Rathore,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Policy Innovations For Enhancing Maternal And Newborn Care Management,Policy Innovations For Enhancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3284,978-81-978432-8-0,Ms. Neha Sharma,"Asst. Professor, Dept of Mathematics",ITM Gwalior,Contributor,Policy Innovations For Enhancing Maternal And Newborn Care Management,Policy Innovations For Enhancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3285,978-81-978432-8-0,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Policy Innovations For Enhancing Maternal And Newborn Care Management,Policy Innovations For Enhancing Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3286,978-81-978432-8-0,Dr. Satyendra Singh Chauhan,"Professor, Dept of Physics",ITM Gwalior,Contributor,Redefining Quality Metrics In Maternal And Newborn Care Management,Redefining Quality Metrics In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3287,978-81-978432-8-0,Dr. Preeti Singh,Professor,ITM Gwalior,Contributor,Redefining Quality Metrics In Maternal And Newborn Care Management,Redefining Quality Metrics In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3288,978-81-978432-8-0,Dr. Rajeev Singh Rathore,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Redefining Quality Metrics In Maternal And Newborn Care Management,Redefining Quality Metrics In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3289,978-81-978432-8-0,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Redefining Quality Metrics In Maternal And Newborn Care Management,Redefining Quality Metrics In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3290,978-81-978432-8-0,Mr. Vikas Sharma,"Assistant Professor, School of Life and Basic Scienc","Jaipur National University, Rajasthan",Contributor,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3291,978-81-978432-8-0,Dr. Ankit Gupta,"Associate Professor, Dept of MBA",ITM Gwalior,Contributor,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3292,978-81-978432-8-0,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3293,978-81-978432-8-0,Dr. Prashant Sharma,"Asst. Professor, Dept of MBA",ITM Gwalior,Contributor,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,Developing Resilient Maternal And Newborn Care Management Systems In Crisis Situations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3294,978-81-978432-8-0,Dr. Preeti Singh,Professor,ITM Gwalior,Contributor,Transformative Approaches In Maternal Health Management: A Review Of Innovations,Transformative Approaches In Maternal Health Management A Review Of Innovations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3295,978-81-978432-8-0,Dr. Megha Ajeet Lahane,"Associate , Dept of Humanities",ITM Gwalior,Contributor,Transformative Approaches In Maternal Health Management: A Review Of Innovations,Transformative Approaches In Maternal Health Management A Review Of Innovations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3296,978-81-978432-8-0,Mr. Abhinandan Singh Dandotiya,"Asst. Professor, Dept of MCA",ITM Gwalior,Contributor,Transformative Approaches In Maternal Health Management: A Review Of Innovations,Transformative Approaches In Maternal Health Management A Review Of Innovations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3297,978-81-978432-8-0,Dr. Prashant Sharma,"Asst. Professor, Dept of MBA",ITM Gwalior,Contributor,Transformative Approaches In Maternal Health Management: A Review Of Innovations,Transformative Approaches In Maternal Health Management A Review Of Innovations,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3298,978-81-978432-8-0,Dr. Ankit Gupta,"Associate Professor, Dept of MBA",ITM Gwalior,Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contempor,Innovative Models Of Care For Maternal And Newborn Health Addressing Contempor,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3299,978-81-978432-8-0,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contempor,Innovative Models Of Care For Maternal And Newborn Health Addressing Contempor,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3300,978-81-978432-8-0,Ms. Rashmi Pandey,"Asst. Professor, Dept of EC",ITM Gwalior,Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contempor,Innovative Models Of Care For Maternal And Newborn Health Addressing Contempor,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3301,978-81-978432-8-0,Mr. Vikas Sharma,"Assistant Professor, School of Life and Basic Scienc","Jaipur National University, Rajasthan",Contributor,Innovative Models Of Care For Maternal And Newborn Health: Addressing Contempor,Innovative Models Of Care For Maternal And Newborn Health Addressing Contempor,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3302,978-81-978432-8-0,Dr. Preeti Singh,Professor,ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3303,978-81-978432-8-0,Dr. Megha Ajeet Lahane,"Associate , Dept of Humanities",ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3304,978-81-978432-8-0,Mr. Abhinandan Singh Dandotiya,"Asst. Professor, Dept of MCA",ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3305,978-81-978432-8-0,Dr. Manoj Mishra,"Professor, Dept of Humanities",ITM Gwalior,Contributor,New Frontiers In Maternal And Newborn Care Management: Innovations And Best Practices,New Frontiers In Maternal And Newborn Care Management Innovations And Best Practices,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3306,978-81-978432-8-0,Dr. Megha Ajeet Lahane,"Associate , Dept of Humanities",ITM Gwalior,Contributor,The Intersection Of Policy And Practice: Innovations In Maternal And Newborn Care Management,The Intersection Of Policy And Practice Innovations In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3307,978-81-978432-8-0,Dr. Mahendra Singh Bhadoria,"Associate Professor, Dept of Mathematics",ITM Gwalior,Contributor,The Intersection Of Policy And Practice: Innovations In Maternal And Newborn Care Management,The Intersection Of Policy And Practice Innovations In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3308,978-81-978432-8-0,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,The Intersection Of Policy And Practice: Innovations In Maternal And Newborn Care Management,The Intersection Of Policy And Practice Innovations In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3309,978-81-978432-8-0,Dr. Rajeev Singh Rathore,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,The Intersection Of Policy And Practice: Innovations In Maternal And Newborn Care Management,The Intersection Of Policy And Practice Innovations In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3310,978-81-978432-8-0,Dr. Manoj Mishra,"Professor, Dept of Humanities",ITM Gwalior,Contributor,Addressing Inequities In Maternal And Newborn Care: Innovative Management Solutions,Addressing Inequities In Maternal And Newborn Care Innovative Management Solutions,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3311,978-81-978432-8-0,Dr. Satyendra Singh Chauhan,"Professor, Dept of Physics",ITM Gwalior,Contributor,Addressing Inequities In Maternal And Newborn Care: Innovative Management Solutions,Addressing Inequities In Maternal And Newborn Care Innovative Management Solutions,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3312,978-81-978432-8-0,Dr. Rajeev Singh Rathore,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Addressing Inequities In Maternal And Newborn Care: Innovative Management Solutions,Addressing Inequities In Maternal And Newborn Care Innovative Management Solutions,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3313,978-81-978432-8-0,Dr. Prashant Sharma,"Asst. Professor, Dept of MBA",ITM Gwalior,Contributor,Addressing Inequities In Maternal And Newborn Care: Innovative Management Solutions,Addressing Inequities In Maternal And Newborn Care Innovative Management Solutions,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3314,978-81-978432-8-0,Mr. Abhinandan Singh Dandotiya,"Asst. Professor, Dept of MCA",ITM Gwalior,Contributor,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3315,978-81-978432-8-0,Dr. Satyendra Singh Chauhan,"Professor, Dept of Physics",ITM Gwalior,Contributor,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3316,978-81-978432-8-0,Dr. Prashant Sharma,"Asst. Professor, Dept of MBA",ITM Gwalior,Contributor,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3317,978-81-978432-8-0,Dr. Rajeev Singh Rathore,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,Challenges In Implementing Innovative Practices In Maternal And Newborn Care Management,RECENT TRENDS OF RESEARCH AND INNOVATION IN MANAGEMENT STUDIES,"Tuesday, January 3, 2023",Xoffencer International Publication
3318,978-81-19534-68-5,Dr. Manoj Mishra,"Professor, Department of Basic Sciences",ITM Gwalior,Author,NIL,NIL,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3319,978-81-19534-68-5,Dr. Preeti Singh,"Professor & Head, Department of MBA",ITM Gwalior,Author,NIL,NIL,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3320,978-81-19534-68-5,Dr. Ankit Gupta,"Associate Professor, Department of MBA",ITM Gwalior,Author,NIL,NIL,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3321,978-81-19534-68-5,Ms. Neelam Joshi,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Role of Artificial Intelligence in Personalized Medicine,The Role of Artificial Intelligence in Personalized Medicine,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3322,978-81-19534-68-5,Dr. Satyendra Singh Chauhan,"Professor, Dept of Physics",ITM Gwalior,Contributor,The Role of+C3:D21 Artificial Intelligence in Personalized Medicine,The Role ofC3D21 Artificial Intelligence in Personalized Medicine,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3323,978-81-19534-68-5,Dr. Manoj Bandil,"Associate Professor, Dept of EE",ITM Gwalior,Contributor,The Role of Artificial Intelligence in Personalized Medicine,The Role of Artificial Intelligence in Personalized Medicine,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3324,978-81-19534-68-5,Mr. Ishwar Gupta,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,The Role of Artificial Intelligence in Personalized Medicine,The Role of Artificial Intelligence in Personalized Medicine,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3325,978-81-19534-68-5,Ms. Deepika Saraswat,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Leveraging Data Science for Urban Planning and Smart Cities,Leveraging Data Science for Urban Planning and Smart Cities,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3326,978-81-19534-68-5,Mr. Deepak Sharma,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Leveraging Data Science for Urban Planning and Smart Cities,Leveraging Data Science for Urban Planning and Smart Cities,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3327,978-81-19534-68-5,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Leveraging Data Science for Urban Planning and Smart Cities,Leveraging Data Science for Urban Planning and Smart Cities,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3328,978-81-19534-68-5,Mr. Rachit Jain,"Asst. Professor, Dept of EC",ITM Gwalior,Contributor,Biotechnology and Environmental Science: Solutions for Pollution,Biotechnology and Environmental Science Solutions for Pollution,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3329,978-81-19534-68-5,Ms. Neelam Baghel,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Biotechnology and Environmental Science: Solutions for Pollution,Biotechnology and Environmental Science Solutions for Pollution,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3330,978-81-19534-68-5,Dr. Jitendra Singh Kushwah,"Associate Professor, Dept of ME",ITM Gwalior,Contributor,Biotechnology and Environmental Science: Solutions for Pollution,Biotechnology and Environmental Science Solutions for Pollution,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3331,978-81-19534-68-5,Dr. Pradeep Yadav,"Associate Professor, Dept of CSE",ITM Gwalior,Contributor,Biotechnology and Environmental Science: Solutions for Pollution,Biotechnology and Environmental Science Solutions for Pollution,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3332,978-81-19534-68-5,Mr. Amit Kumar Tiwari,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,The Intersection of Neuroscience and Education: Enhancing Learning Outcomes,The Intersection of Neuroscience and Education Enhancing Learning Outcomes,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3333,978-81-19534-68-5,Mr. Kapil Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,The Intersection of Neuroscience and Education: Enhancing Learning Outcomes,The Intersection of Neuroscience and Education Enhancing Learning Outcomes,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3334,978-81-19534-68-5,Dr. Prashant Shrivastava,"Associate Professor, Dept of CM",ITM Gwalior,Contributor,The Intersection of Neuroscience and Education: Enhancing Learning Outcomes,The Intersection of Neuroscience and Education Enhancing Learning Outcomes,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3335,978-81-19534-68-5,Mr. Chandra Prakash Bhargawa,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Intersection of Neuroscience and Education: Enhancing Learning Outcomes,The Intersection of Neuroscience and Education Enhancing Learning Outcomes,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3336,978-81-19534-68-5,Dr. Satyendra Singh Chauhan,"Professor, Dept of Physics",ITM Gwalior,Contributor,Cyber security and Behavioral Science: Addressing Human Factors in Digital Security,Cyber security and Behavioral Science Addressing Human Factors in Digital Security,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3337,978-81-19534-68-5,Mr. Vineet Shrivastava,"Asst. Professor, Dept of EC",ITM Gwalior,Contributor,Cyber security and Behavioral Science: Addressing Human Factors in Digital Security,Cyber security and Behavioral Science Addressing Human Factors in Digital Security,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3338,978-81-19534-68-5,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Cyber security and Behavioral Science: Addressing Human Factors in Digital Security,Cyber security and Behavioral Science Addressing Human Factors in Digital Security,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3339,978-81-19534-68-5,Dr. Vipin Shrotriya,"Asst. Professor, Dept of Physics",ITM Gwalior,Contributor,Collaborative Robotics in Healthcare: Enhancing Patient Care and Efficiency,Collaborative Robotics in Healthcare Enhancing Patient Care and Efficiency,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3340,978-81-19534-68-5,Ms. Neelam Baghel,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Collaborative Robotics in Healthcare: Enhancing Patient Care and Efficiency,Collaborative Robotics in Healthcare Enhancing Patient Care and Efficiency,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3341,978-81-19534-68-5,Mr. Shushant Kumar Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Collaborative Robotics in Healthcare: Enhancing Patient Care and Efficiency,Collaborative Robotics in Healthcare Enhancing Patient Care and Efficiency,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3342,978-81-19534-68-5,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Collaborative Robotics in Healthcare: Enhancing Patient Care and Efficiency,Collaborative Robotics in Healthcare Enhancing Patient Care and Efficiency,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3343,978-81-19534-68-5,Dr. Mahendra Bhadoria,"Associate Professor, Dept of Mathematics",ITM Gwalior,Contributor,Design Thinking in Social Entrepreneurship: Creating Scalable Impact,Design Thinking in Social Entrepreneurship Creating Scalable Impact,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
3344,978-81-19534-68-5,Dr. Deepesh Bhardwaj,"Professor, Dept of Chemistry",ITM Gwalior,Contributor,Design Thinking in Social Entrepreneurship: Creating Scalable Impact,Design Thinking in Social Entrepreneurship Creating Scalable Impact,IMPACT OF INTERDISCIPLINARY INNOVATIONS IN BUSINESS MANAGEMENT,"Wednesday, August 4, 2021",Xoffencer International Publication
